year,month,carrier,airport,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,delay_per_flight,total_delay
2022,7,AA,KOA,93.0,23.0,8.21,0.0,12.25,0.0,2.54,0.0,0.0,939.0,544.0,0.0,285.0,0.0,110.0,9.98936170212766,939.0
2022,7,AA,LIH,93.0,21.0,8.74,0.0,9.01,0.0,3.26,0.0,0.0,876.0,409.0,0.0,256.0,0.0,211.0,9.319148936170214,876.0
2022,7,AA,LIT,61.0,18.0,4.27,2.35,1.11,0.33,9.94,4.0,1.0,1435.0,240.0,327.0,65.0,25.0,778.0,23.14516129032258,1410.0
2022,7,AA,MDT,62.0,21.0,9.98,0.0,2.36,0.0,8.66,5.0,0.0,2451.0,1833.0,0.0,52.0,0.0,566.0,38.904761904761905,2451.0
2022,7,AA,MFE,119.0,38.0,21.7,0.1,1.67,0.0,14.53,4.0,0.0,2302.0,1350.0,7.0,60.0,0.0,885.0,19.183333333333334,2302.0
2022,7,AA,MHT,62.0,24.0,7.98,2.48,3.17,0.0,10.37,4.0,0.0,1299.0,378.0,229.0,130.0,0.0,562.0,20.61904761904762,1299.0
2022,7,AA,MKE,173.0,72.0,26.1,3.3,8.51,0.07,34.02,5.0,1.0,4777.0,1581.0,284.0,321.0,2.0,2589.0,27.45402298850575,4775.0
2022,7,AA,MSN,119.0,60.0,21.65,3.82,7.25,0.12,27.16,3.0,0.0,4727.0,1336.0,476.0,270.0,17.0,2628.0,39.391666666666666,4710.0
2022,7,AA,MSO,31.0,3.0,1.97,0.0,1.03,0.0,0.0,0.0,0.0,97.0,67.0,0.0,30.0,0.0,0.0,3.03125,97.0
2022,7,AA,MTJ,31.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,94.0,94.0,0.0,0.0,0.0,0.0,2.9375,94.0
2022,7,AA,MYR,165.0,59.0,13.86,7.45,8.33,0.0,29.37,6.0,0.0,4410.0,1116.0,605.0,455.0,0.0,2234.0,26.566265060240966,4410.0
2022,7,AA,OGG,186.0,27.0,11.58,0.0,7.73,0.0,7.7,0.0,0.0,1762.0,627.0,0.0,292.0,0.0,843.0,9.422459893048128,1762.0
2022,7,AA,OKC,155.0,51.0,20.99,3.19,6.97,0.1,19.75,0.0,0.0,3005.0,991.0,194.0,266.0,12.0,1542.0,19.262820512820515,2993.0
2022,7,AA,OMA,185.0,72.0,21.17,2.07,6.76,0.11,41.89,5.0,0.0,5185.0,1289.0,150.0,232.0,9.0,3505.0,27.876344086021504,5176.0
